"","Variable","Mean","Lower","Upper",".width"
"1","b.age",0.44173139146822,0.288292624833492,0.594605023212046,0.68
"2","b.dist",-0.111726671640319,-0.11566624843355,-0.107234408492782,0.68
"3","b.sex",0.607993342843729,0.493273805286809,0.719174414407226,0.68
"4","b.size1",0.0197722232021417,0.0128182573504051,0.027245465215681,0.68
"5","b.size2",0.0332713569499019,0.0255875839058278,0.0403587786145867,0.68
"6","b0",-4.4762362488029,-4.64440910949726,-4.30802288639344,0.68
"7","b.age",0.44173139146822,0.194582367298323,0.719296330674325,0.9
"8","b.dist",-0.111726671640319,-0.118844297169226,-0.104515899155119,0.9
"9","b.sex",0.607993342843729,0.39991568904072,0.812823519379801,0.9
"10","b.size1",0.0197722232021417,0.00853568923759282,0.0321629848021578,0.9
"11","b.size2",0.0332713569499019,0.0212925407297945,0.0453192248370617,0.9
"12","b0",-4.4762362488029,-4.87592957917456,-4.17544074784659,0.9
"13","b.age",0.44173139146822,0.144586541222551,0.757049040170434,0.95
"14","b.dist",-0.111726671640319,-0.120067796934912,-0.102951713436616,0.95
"15","b.sex",0.607993342843729,0.364647092271119,0.845029278792058,0.95
"16","b.size1",0.0197722232021417,0.00655948804413211,0.0346063807156629,0.95
"17","b.size2",0.0332713569499019,0.0194762875116199,0.0480570571657477,0.95
"18","b0",-4.4762362488029,-4.92755736899912,-4.10507630316974,0.95
