"","From","To","age","sex","psi",".lower",".upper",".width",".point",".interval"
"1","BB","BB",0,0,0.955719863126278,0.945002945003935,0.967173704386842,0.9,"mean","qi"
"2","BB","BB",0,1,0.921507203288414,0.903271364060487,0.940433134850037,0.9,"mean","qi"
"3","BB","BB",1,0,0.933132838553321,0.921639616791026,0.944487878216448,0.9,"mean","qi"
"4","BB","BB",1,1,0.884079367918669,0.871599815329384,0.896481963099028,0.9,"mean","qi"
"5","BB","BLNWR",0,0,8.31111206144003e-06,3.75979305353091e-06,1.49961716239293e-05,0.9,"mean","qi"
"6","BB","BLNWR",0,1,1.47257980637819e-05,6.75443823117398e-06,2.80713756047727e-05,0.9,"mean","qi"
"7","BB","BLNWR",1,0,1.26878407189188e-05,5.85458170890033e-06,2.3468051441092e-05,0.9,"mean","qi"
"8","BB","BLNWR",1,1,2.20128044410681e-05,1.05481949837839e-05,4.2936719017102e-05,0.9,"mean","qi"
"9","BB","BS",0,0,1.95918873666415e-05,1.32205152071127e-05,2.82114228196471e-05,0.9,"mean","qi"
"10","BB","BS",0,1,3.47312281360021e-05,2.31925122429338e-05,5.16349958464695e-05,0.9,"mean","qi"
"11","BB","BS",1,0,2.97185905533581e-05,1.94696954982522e-05,4.21669476296071e-05,0.9,"mean","qi"
"12","BB","BS",1,1,5.1549775078886e-05,3.57309601625559e-05,7.18702732690934e-05,0.9,"mean","qi"
"13","BB","CNWR",0,0,1.32309716590061e-05,8.80745062052559e-06,1.9686072859232e-05,0.9,"mean","qi"
"14","BB","CNWR",0,1,2.34493062351658e-05,1.53678404344042e-05,3.39156203281929e-05,0.9,"mean","qi"
"15","BB","CNWR",1,0,2.00865626888383e-05,1.30238385313764e-05,2.92918299420069e-05,0.9,"mean","qi"
"16","BB","CNWR",1,1,3.48375828391608e-05,2.34562621996422e-05,4.99175287481232e-05,0.9,"mean","qi"
"17","BB","HB",0,0,9.08270734300359e-06,5.9673317266443e-06,1.38029783629558e-05,0.9,"mean","qi"
"18","BB","HB",0,1,1.60964908002729e-05,1.03547970886632e-05,2.35766290362314e-05,0.9,"mean","qi"
"19","BB","HB",1,0,1.37940174254033e-05,8.71167627400091e-06,2.05557875917442e-05,0.9,"mean","qi"
"20","BB","HB",1,1,2.39240445786201e-05,1.58230986239377e-05,3.52524637063216e-05,0.9,"mean","qi"
"21","BB","HI",0,0,0.000153705439870194,0.000109469843139061,0.000205192193328636,0.9,"mean","qi"
"22","BB","HI",0,1,0.000272514904373569,0.000200716781494564,0.000360998289992512,0.9,"mean","qi"
"23","BB","HI",1,0,0.000232759032211838,0.000173849425738722,0.00030220765275566,0.9,"mean","qi"
